No,Digimon,Stage,Type,Attribute,Memory,Equip Slots,HP,SP,Atk,Def,Int,Spd,Image
109,Strikedramon,Champion,Vaccine,Earth,6,2,1150,72,151,87,68,118,http://digidb.io/images/dot/dot016.png
110,Zubaeagermon,Champion,Vaccine,Neutral,8,1,1160,67,148,126,63,111,http://digidb.io/images/dot/dot698.png
111,Socerimon,Champion,Vaccine,Water,8,1,1030,123,64,93,148,90,http://digidb.io/images/dot/dot755.png
112,Tankmon,Champion,Data,Electric,6,2,940,84,113,141,98,81,http://digidb.io/images/dot/dot621.png
113,MudFrigimon,Champion,Data,Earth,6,2,1190,96,101,99,97,99,http://digidb.io/images/dot/dot759.png
114,Tyrannomon,Champion,Data,Fire,6,2,1230,59,148,125,59,97,http://digidb.io/images/dot/dot363.png
115,Gatomon,Champion,Vaccine,Light,8,1,640,143,69,79,143,123,http://digidb.io/images/dot/dot092.png
116,Devimon,Champion,Virus,Dark,8,1,990,94,133,84,125,97,http://digidb.io/images/dot/dot093.png
117,Turuiemon,Champion,Data,Earth,6,2,1140,78,130,91,78,120,http://digidb.io/images/dot/dot102.png
118,Togemon,Champion,Data,Plant,8,1,1330,84,108,113,93,90,http://digidb.io/images/dot/dot349.png
119,Dorugamon,Champion,Data,Earth,8,1,1180,84,138,89,69,123,http://digidb.io/images/dot/dot396.png
120,Nanimon,Champion,Virus,Earth,6,2,1070,84,108,133,98,81,http://digidb.io/images/dot/dot375.png
121,Numemon,Champion,Virus,Earth,6,2,1380,99,84,138,69,83,http://digidb.io/images/dot/dot070.png
122,Birdramon,Champion,Vaccine,Fire,8,1,940,113,94,84,109,128,http://digidb.io/images/dot/dot308.png
123,BaoHuckmon,Champion,Data,Fire,8,1,990,96,116,117,90,113,http://digidb.io/images/dot/dot115.png
124,Bakemon,Champion,Virus,Dark,6,2,590,148,64,74,138,128,http://digidb.io/images/dot/dot013.png
125,Veedramon,Champion,Vaccine,Wind,8,1,1180,84,138,113,64,114,http://digidb.io/images/dot/dot397.png
126,Hudiemon,Champion,Free,Plant,8,1,980,111,109,85,113,115,http://digidb.io/images/dot/dot022.png
127,PlatinumSukamon,Champion,Virus,Neutral,6,2,450,98,84,999,50,103,http://digidb.io/images/dot/dot752.png
128,BlackGatomon,Champion,Virus,Dark,8,1,690,133,84,84,133,118,http://digidb.io/images/dot/dot043.png
129,Vegiemon,Champion,Virus,Plant,6,2,1380,79,113,106,87,88,http://digidb.io/images/dot/dot314.png
130,Peckmon,Champion,Vaccine,Wind,8,1,790,113,104,84,94,148,http://digidb.io/images/dot/dot702.png
131,Meramon,Champion,Data,Fire,6,2,1130,69,138,113,79,99,http://digidb.io/images/dot/dot010.png
132,Monochromon,Champion,Data,Earth,6,2,1030,76,135,128,77,92,http://digidb.io/images/dot/dot369.png
133,Frigimon,Champion,Vaccine,Water,6,2,1380,83,103,98,99,90,http://digidb.io/images/dot/dot370.png
134,Unimon,Champion,Vaccine,Wind,6,2,790,123,84,79,128,118,http://digidb.io/images/dot/dot548.png
135,Raptordramon,Champion,Vaccine,Neutral,6,2,1130,83,131,101,83,100,http://digidb.io/images/dot/dot025.png
136,Raremon,Champion,Virus,Earth,6,2,1330,83,105,100,88,103,http://digidb.io/images/dot/dot590.png
137,Leomon,Champion,Vaccine,Earth,8,1,1180,69,143,123,71,97,http://digidb.io/images/dot/dot072.png
138,Lekismon,Champion,Data,Water,6,2,790,113,94,84,99,143,http://digidb.io/images/dot/dot003.png
139,Reppamon,Champion,Vaccine,Light,8,1,790,118,94,99,99,143,http://digidb.io/images/dot/dot077.png
140,Waspmon,Champion,Virus,Electric,6,2,1180,74,133,99,74,113,http://digidb.io/images/dot/dot454.png
141,MegaKabuterimon,Ultimate,Vaccine,Plant,12,2,1430,115,94,163,109,92,http://digidb.io/images/dot/dot305.png
142,Arcadiamon Ultimate,Ultimate,Virus,Dark,14,3,1130,120,157,99,119,138,http://digidb.io/images/dot/dot065.png
143,Antylamon,Ultimate,Data,Neutral,12,3,940,123,124,109,114,168,http://digidb.io/images/dot/dot731.png
144,Andromon,Ultimate,Vaccine,Electric,12,3,1040,94,133,157,133,95,http://digidb.io/images/dot/dot342.png
145,Meteormon,Ultimate,Data,Earth,12,3,1090,104,123,163,128,89,http://digidb.io/images/dot/dot756.png
146,Infermon,Ultimate,Free,Dark,14,3,1330,99,198,89,74,153,http://digidb.io/images/dot/dot627.png
147,Myotismon,Ultimate,Virus,Dark,14,3,1290,113,148,99,148,110,http://digidb.io/images/dot/dot085.png
148,Wingdramon,Ultimate,Vaccine,Wind,14,3,1380,89,163,109,89,158,http://digidb.io/images/dot/dot210.png
149,BurningGreymon,Ultimate,Free,Fire,14,3,1260,98,169,131,95,128,http://digidb.io/images/dot/dot679.png
150,AeroVeedramon,Ultimate,Vaccine,Wind,14,1,1430,94,163,99,94,153,http://digidb.io/images/dot/dot400.png
151,Etemon,Ultimate,Virus,Dark,12,3,1130,133,104,119,129,133,http://digidb.io/images/dot/dot311.png
152,Angewomon,Ultimate,Vaccine,Light,14,3,890,163,69,94,188,143,http://digidb.io/images/dot/dot148.png
153,Okuwamon,Ultimate,Virus,Plant,12,3,1330,74,158,158,74,119,http://digidb.io/images/dot/dot401.png
154,Garudamon,Ultimate,Vaccine,Fire,12,3,1040,123,124,109,129,143,http://digidb.io/images/dot/dot309.png
155,KendoGarurumon,Ultimate,Free,Light,14,2,1410,105,144,128,104,124,http://digidb.io/images/dot/dot681.png
156,Gigadramon,Ultimate,Virus,Wind,12,3,1240,94,137,148,113,100,http://digidb.io/images/dot/dot402.png
157,CatchMamemon,Ultimate,Data,Electric,10,3,1420,109,123,134,95,104,http://digidb.io/images/dot/dot044.png
158,CannonBeemon,Ultimate,Virus,Electric,12,3,990,123,129,139,99,143,http://digidb.io/images/dot/dot727.png
159,Groundramon,Ultimate,Virus,Earth,14,3,1430,84,198,143,74,104,http://digidb.io/images/dot/dot211.png
160,GrapLeomon,Ultimate,Vaccine,Electric,12,3,1580,89,163,99,79,143,http://digidb.io/images/dot/dot403.png
161,Grademon,Ultimate,Vaccine,Neutral,12,3,1290,97,173,89,100,144,http://digidb.io/images/dot/dot026.png
162,Crescemon,Ultimate,Data,Water,12,3,1180,133,124,103,139,114,http://digidb.io/images/dot/dot004.png
163,Cyberdramon,Ultimate,Vaccine,Dark,14,2,1480,81,173,143,79,122,http://digidb.io/images/dot/dot719.png
164,Shakkoumon,Ultimate,Free,Light,14,3,1530,135,84,158,139,92,http://digidb.io/images/dot/dot723.png
165,Cherrymon,Ultimate,Virus,Plant,12,3,1630,108,113,133,114,100,http://digidb.io/images/dot/dot379.png
166,Silphymon,Ultimate,Free,Wind,14,3,1040,138,119,119,124,158,http://digidb.io/images/dot/dot720.png
167,SuperStarmon,Ultimate,Data,Light,12,3,1180,128,122,134,109,120,http://digidb.io/images/dot/dot079.png
168,SkullGreymon,Ultimate,Virus,Dark,14,3,1230,79,203,153,69,119,http://digidb.io/images/dot/dot404.png
169,SkullSatamon,Ultimate,Virus,Dark,12,3,1210,103,141,101,132,118,http://digidb.io/images/dot/dot006.png
170,Zudomon,Ultimate,Vaccine,Water,12,2,1630,84,150,128,104,102,http://digidb.io/images/dot/dot345.png
171,SaviorHuckmon,Ultimate,Data,Fire,14,3,1380,94,163,128,79,144,http://digidb.io/images/dot/dot116.png
172,Taomon,Ultimate,Data,Dark,12,3,990,148,69,104,173,138,http://digidb.io/images/dot/dot405.png
173,Dragomon,Ultimate,Virus,Water,12,3,1280,115,126,111,137,99,http://digidb.io/images/dot/dot129.png
174,Chirinmon,Ultimate,Vaccine,Light,14,3,940,133,124,119,124,168,http://digidb.io/images/dot/dot084.png
175,Dinobeemon,Ultimate,Free,Plant,14,3,1330,94,193,124,84,133,http://digidb.io/images/dot/dot023.png
176,Digitamamon,Ultimate,Data,Neutral,12,3,1380,89,128,148,111,102,http://digidb.io/images/dot/dot374.png
177,SkullMeramon,Ultimate,Data,Fire,12,3,1530,79,183,133,70,113,http://digidb.io/images/dot/dot406.png
178,Duramon,Ultimate,Vaccine,Neutral,14,3,1460,81,175,146,79,119,http://digidb.io/images/dot/dot699.png
179,ShogunGekomon,Ultimate,Virus,Water,12,3,1980,96,113,113,99,97,http://digidb.io/images/dot/dot376.png
180,Triceramon,Ultimate,Data,Earth,12,3,1180,89,148,168,94,99,http://digidb.io/images/dot/dot033.png
181,DoruGreymon,Ultimate,Data,Fire,14,3,1480,84,161,153,84,116,http://digidb.io/images/dot/dot407.png
182,Knightmon,Ultimate,Data,Neutral,12,3,1140,109,135,158,123,92,http://digidb.io/images/dot/dot718.png
183,Datamon,Ultimate,Virus,Electric,12,3,1180,133,74,114,175,102,http://digidb.io/images/dot/dot576.png
184,Paildramon,Ultimate,Free,Neutral,14,3,1280,133,139,124,109,128,http://digidb.io/images/dot/dot408.png
185,Panjyamon,Ultimate,Vaccine,Water,12,3,1280,128,124,114,111,126,http://digidb.io/images/dot/dot409.png
186,Pandamon,Ultimate,Data,Earth,12,3,1090,104,135,153,118,97,http://digidb.io/images/dot/dot041.png
187,Pumpkinmon,Ultimate,Data,Earth,10,3,1480,97,123,108,119,111,http://digidb.io/images/dot/dot596.png
188,Piximon,Ultimate,Data,Light,12,3,990,123,104,104,134,153,http://digidb.io/images/dot/dot410.png
189,HippoGryphonmon,Ultimate,Data,Wind,12,3,990,138,107,82,143,148,http://digidb.io/images/dot/dot082.png
190,Phantomon,Ultimate,Virus,Dark,12,3,940,123,99,99,163,138,http://digidb.io/images/dot/dot584.png
191,BlackKingNumemon,Ultimate,Virus,Dark,10,3,1580,113,89,168,89,89,http://digidb.io/images/dot/dot753.png
192,BlueMeramon,Ultimate,Virus,Fire,12,3,1140,109,148,94,133,119,http://digidb.io/images/dot/dot177.png
193,Vademon,Ultimate,Virus,Dark,10,3,1130,165,64,94,173,97,http://digidb.io/images/dot/dot411.png
194,Whamon,Ultimate,Vaccine,Water,12,2,1680,93,123,123,124,100,http://digidb.io/images/dot/dot021.png
195,MagnaAngemon,Ultimate,Vaccine,Light,14,3,1180,143,98,119,163,105,http://digidb.io/images/dot/dot101.png
196,Volcanomon,Ultimate,Data,Fire,12,3,1530,82,158,119,69,125,http://digidb.io/images/dot/dot059.png
197,Matadormon,Ultimate,Virus,Dark,12,3,1480,94,148,93,104,144,http://digidb.io/images/dot/dot031.png
198,MachGaogamon,Ultimate,Data,Wind,12,3,1480,89,158,89,89,158,http://digidb.io/images/dot/dot074.png
199,Mamemon,Ultimate,Data,Earth,10,3,1480,113,111,153,84,97,http://digidb.io/images/dot/dot412.png
200,MegaSeadramon,Ultimate,Data,Water,12,3,1330,138,86,114,158,102,http://digidb.io/images/dot/dot132.png
201,Megadramon,Ultimate,Virus,Wind,12,3,1430,79,158,148,69,119,http://digidb.io/images/dot/dot301.png
202,WarGrowlmon,Ultimate,Virus,Fire,14,3,1430,84,178,138,87,116,http://digidb.io/images/dot/dot134.png
203,MetalGreymon,Ultimate,Vaccine,Fire,14,2,1530,84,168,148,80,113,http://digidb.io/images/dot/dot302.png
204,MetalGreymon (Blue),Ultimate,Virus,Fire,14,2,1670,84,173,143,69,110,http://digidb.io/images/dot/dot327.png
205,MetalTyrannomon,Ultimate,Virus,Electric,12,3,1090,104,130,178,118,92,http://digidb.io/images/dot/dot364.png
206,MetalMamemon,Ultimate,Data,Electric,10,3,1040,99,123,153,128,103,http://digidb.io/images/dot/dot413.png
207,Monzaemon,Ultimate,Vaccine,Neutral,12,2,1580,93,128,118,119,100,http://digidb.io/images/dot/dot061.png
208,Crowmon,Ultimate,Vaccine,Wind,12,3,890,128,119,104,119,173,http://digidb.io/images/dot/dot721.png
209,RizeGreymon,Ultimate,Vaccine,Fire,14,3,1530,94,178,109,69,143,http://digidb.io/images/dot/dot071.png
210,Lilamon,Ultimate,Data,Plant,12,3,1280,148,69,104,168,114,http://digidb.io/images/dot/dot073.png
211,Rapidmon,Ultimate,Vaccine,Electric,12,3,1180,113,114,109,119,143,http://digidb.io/images/dot/dot722.png
212,Lillymon,Ultimate,Data,Plant,12,3,890,153,74,94,163,158,http://digidb.io/images/dot/dot359.png
213,Lucemon FM,Ultimate,Virus,Neutral,22,2,1390,139,163,114,203,139,http://digidb.io/images/dot/dot039.png
214,LadyDevimon,Ultimate,Virus,Dark,14,3,890,163,99,94,158,143,http://digidb.io/images/dot/dot107.png
215,WereGarurumon,Ultimate,Vaccine,Earth,12,3,1430,89,178,89,79,153,http://digidb.io/images/dot/dot140.png
216,WereGarurumon (Blk),Ultimate,Virus,Earth,12,3,1480,79,183,104,69,148,http://digidb.io/images/dot/dot715.png
217,Wisemon,Ultimate,Virus,Dark,12,3,790,168,69,84,198,133,http://digidb.io/images/dot/dot726.png
218,Arcadiamon Mega,Mega,Virus,Dark,20,2,1410,153,196,109,119,163,http://digidb.io/images/dot/dot066.png
219,Alphamon,Mega,Vaccine,Neutral,22,1,1390,128,158,183,158,130,http://digidb.io/images/dot/dot416.png
220,UlforceVeedramon,Mega,Vaccine,Wind,22,1,1680,129,188,109,104,198,http://digidb.io/images/dot/dot417.png
221,Ebemon,Mega,Virus,Electric,16,3,1230,178,74,114,198,129,http://digidb.io/images/dot/dot451.png
222,Imperialdramon DM,Mega,Free,Fire,20,2,1730,143,139,139,139,148,http://digidb.io/images/dot/dot732.png
223,Imperialdramon FM,Mega,Free,Neutral,20,2,1780,114,198,124,114,153,http://digidb.io/images/dot/dot419.png
224,Vikemon,Mega,Free,Water,18,3,1780,105,158,143,129,133,http://digidb.io/images/dot/dot346.png
225,Valkyrimon,Mega,Free,Wind,18,3,1330,139,148,129,129,168,http://digidb.io/images/dot/dot773.png
226,Varodurumon,Mega,Vaccine,Light,20,2,1580,164,103,94,189,173,http://digidb.io/images/dot/dot117.png
227,VenomMyotismon,Mega,Virus,Dark,20,3,1540,120,193,104,148,138,http://digidb.io/images/dot/dot600.png
228,WarGreymon,Mega,Vaccine,Fire,20,2,1630,98,193,163,99,140,http://digidb.io/images/dot/dot027.png
229,Ophanimon,Mega,Vaccine,Light,20,2,840,183,104,164,193,153,http://digidb.io/images/dot/dot421.png
230,Gaiomon,Mega,Virus,Fire,18,3,1630,99,203,129,94,158,http://digidb.io/images/dot/dot744.png
231,KaiserGreymon,Mega,Free,Fire,20,2,1640,99,206,151,123,139,http://digidb.io/images/dot/dot677.png
232,ChaosGallantmon,Mega,Virus,Dark,22,1,1340,139,178,139,163,144,http://digidb.io/images/dot/dot150.png
233,Chaosdramon,Mega,Virus,Electric,20,2,1630,99,203,173,109,134,http://digidb.io/images/dot/dot422.png
234,Gankoomon,Mega,Data,Fire,22,2,2080,90,188,163,109,138,http://digidb.io/images/dot/dot688.png
235,KingEtemon,Mega,Virus,Earth,18,3,1290,114,164,163,131,125,http://digidb.io/images/dot/dot127.png
236,Kuzuhamon,Mega,Data,Dark,18,3,1380,163,84,129,193,139,http://digidb.io/images/dot/dot754.png
237,GranKuwagamon,Mega,Virus,Plant,18,3,1530,88,178,178,89,140,http://digidb.io/images/dot/dot423.png
238,GranDracmon,Mega,Virus,Dark,20,2,1340,140,174,114,169,151,http://digidb.io/images/dot/dot032.png
239,GroundLocomon,Mega,Data,Electric,18,3,1140,114,144,213,133,128,http://digidb.io/images/dot/dot704.png
240,Gryphonmon,Mega,Data,Wind,18,3,1260,129,164,104,130,173,http://digidb.io/images/dot/dot083.png
241,Craniamon,Mega,Vaccine,Earth,22,1,1630,143,124,208,134,124,http://digidb.io/images/dot/dot734.png
